date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:28	16992/16992	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-4260%22	https://nsevindi87.github.io/multipage-website/index.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/index.html	(from )
07:13:29	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://nsevindi87.github.io/robots.txt		(from )
07:13:30	12441/12441	---M-Z	200	added ('OK')	text/css	etag:W/%22630fa92b-3099%22	https://nsevindi87.github.io/multipage-website/style.css	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/style.css	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:30	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/Users/Admin/Desktop/Website%20Development/Dev2/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:31	11886/11886	---M--	200	added ('OK')	image/png	etag:%22630fa92b-2e6e%22	https://nsevindi87.github.io/multipage-website/image/pngegg.png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngegg.png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:31	5443/5443	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-1543%22	https://nsevindi87.github.io/multipage-website/about.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/about.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:31	6619/6619	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-19db%22	https://nsevindi87.github.io/multipage-website/menu.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/menu.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:32	6871/6871	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-1ad7%22	https://nsevindi87.github.io/multipage-website/products.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/products.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:32	6801/6801	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-1a91%22	https://nsevindi87.github.io/multipage-website/review.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/review.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:32	5702/5702	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-1646%22	https://nsevindi87.github.io/multipage-website/contact.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/contact.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:33	6358/6358	---M-Z	200	added ('OK')	text/html	etag:W/%22630fa92b-18d6%22	https://nsevindi87.github.io/multipage-website/blog.html	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/blog.html	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:39	336944/336944	---M--	200	added ('OK')	image/png	etag:%22630fa92b-52430%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(3).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(3).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:42	2036847/2036847	---M--	200	added ('OK')	image/png	etag:%22630fa92b-1f146f%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(1).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(1).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:46	1332591/1332591	---M--	200	added ('OK')	image/png	etag:%22630fa92b-14556f%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(4).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(4).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:46	974861/974861	---M--	200	added ('OK')	image/png	etag:%22630fa92b-ee00d%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(2).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(2).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	685256/685256	---M--	200	added ('OK')	image/png	etag:%22630fa92b-a74c8%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com.png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com.png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	876904/876904	---M--	200	added ('OK')	image/png	etag:%22630fa92b-d6168%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(5).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(5).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	378081/378081	---M--	200	added ('OK')	image/png	etag:%22630fa92b-5c4e1%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(7).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(7).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	1034313/1034313	---M--	200	added ('OK')	image/png	etag:%22630fa92b-fc849%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(6).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(6).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	8528/8528	---M--	200	added ('OK')	image/png	etag:%22630fa92b-2150%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(8).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(8).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:51	24991/24991	---M--	200	added ('OK')	image/png	etag:%22630fa92b-619f%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(9).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(9).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:52	26806/26806	---M--	200	added ('OK')	image/png	etag:%22630fa92b-68b6%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(10).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(10).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:52	26909/26909	---M--	200	added ('OK')	image/png	etag:%22630fa92b-691d%22	https://nsevindi87.github.io/multipage-website/image/pngwing.com%20(11).png	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/pngwing.com%20(11).png	(from https://nsevindi87.github.io/multipage-website/index.html)
07:13:57	1202/1202	---M-Z	200	added ('OK')	application/javascript	etag:W/%22630fa92b-4b2%22	https://nsevindi87.github.io/multipage-website/script.js	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/script.js	(from https://nsevindi87.github.io/multipage-website/index.html)
07:14:59	11410610/11410610	---M--	200	added ('OK')	image/jpeg	etag:%22630fa92b-ae1cb2%22	https://nsevindi87.github.io/multipage-website/image/handmade-burger-on-dark-background-delicious-blac-2021-10-21-02-27-27-utc.jpg	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/handmade-burger-on-dark-background-delicious-blac-2021-10-21-02-27-27-utc.jpg	(from https://nsevindi87.github.io/multipage-website/index.html)
07:15:00	7135976/7135976	---M--	200	added ('OK')	image/jpeg	etag:%22630fa92b-6ce2e8%22	https://nsevindi87.github.io/multipage-website/image/delicious-burger-on-wooden-board-2022-03-04-05-58-25-utc.jpg	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/delicious-burger-on-wooden-board-2022-03-04-05-58-25-utc.jpg	(from https://nsevindi87.github.io/multipage-website/index.html)
07:15:10	10324047/10324047	---M--	200	added ('OK')	image/jpeg	etag:%22630fa92b-9d884f%22	https://nsevindi87.github.io/multipage-website/image/delicious-tasty-burgers-on-wooden-background-2021-08-26-15-25-13-utc.jpg	C:/Users/Admin/Desktop/Website%20Development/Dev2/nsevindi87.github.io/multipage-website/image/delicious-tasty-burgers-on-wooden-background-2021-08-26-15-25-13-utc.jpg	(from https://nsevindi87.github.io/multipage-website/index.html)
